trading_date,A,AG,AL,AP,AU,BC,BU,C,CF,CU,EB,EG,FG,FU,HC,I,IC,IF,IH,IM,J,JM,L,LU,M,MA,NI,NR,OI,P,PB,PF,PG,PP,RB,RM,RU,SA,SC,SF,SI,SM,SN,SP,SR,SS,TA,UR,V,Y,ZN
2014-01-06,2.0481742461534486e-10,6.569615546199999e-11,-5.919027591200348e-11,,-7.73771674382745e-11,,,4.088201407196793e-11,2.903830085291447e-11,5.824723524398071e-11,,,-8.893750302724018e-10,,,-1.7130444263794897e-10,,-5.4797957252951e-10,,,1.4194498941269543e-10,6.806880575810566e-10,2.1129681501168156e-11,,4.9794928129956864e-11,,,,-1.778226921334192e-10,-4.245498627487509e-10,-3.6825115898836614e-11,,,,5.933897782352315e-11,-1.2086891379558707e-10,-3.89863762804494e-10,,,,,,,,-1.9085871843930223e-10,,-1.411794578123879e-10,,8.522330432470394e-11,-4.593922897783811e-11,-1.558480157564759e-11
2014-01-07,1.378662312614123e-10,9.163215279487744e-11,-1.7238282906773954e-11,,-1.190574697898702e-10,,,1.6101502310051186e-10,6.157842924948385e-11,9.863362896208952e-12,,,-5.744494650646574e-10,,,-8.436432824236725e-11,,2.1184340276552118e-10,,,4.1343582249130475e-10,3.216248742694471e-10,-3.301093936743343e-10,,-2.464100819415898e-10,,,,-5.147404833497321e-10,-5.860947119603128e-10,-1.1084814469445953e-10,,,,-3.2184711583727485e-10,-3.233270467786949e-11,-3.6263291955816096e-11,,,,,,,,-4.5874021973760455e-11,,-1.4888682334536706e-10,,-1.6785485958176185e-10,-4.1944380375486616e-10,9.321104008300241e-12
2014-01-08,-2.7384455242440088e-11,2.408228966891491e-09,3.094192837907915e-11,,-1.8676685285090796e-10,,,1.647774334916244e-11,-2.2170557994991562e-11,-3.2772852741484525e-11,,,8.264380207751262e-12,,,-2.429574284323118e-10,,6.015473043183194e-10,,,-2.7539209908382163e-11,-6.832664641149113e-11,1.328905228243721e-10,,1.6449523525330995e-10,,,,9.603256561095527e-11,-1.4555614369248912e-09,8.863010545904902e-12,,,,-6.173314203458224e-11,1.1114732008024911e-10,-1.3592758154863763e-10,,,,,,,,-5.722648573408536e-11,,-3.187027590172078e-10,,4.304976679211828e-12,-2.8639731474250953e-10,1.4650034650110327e-11
2014-01-09,3.997856644760236e-10,-7.046430796991358e-11,2.334270657501064e-11,,-8.556070467877091e-11,,,2.4397681940912783e-11,-1.3138537711737359e-11,2.0139990158810687e-09,,,1.6349889447552097e-08,,,1.9654404677629354e-11,,4.0582401919486713e-10,,,-4.6957226499984395e-09,-2.1307898638210533e-09,8.929693589850126e-09,,6.47768127852594e-09,,,,1.9218255513637728e-10,-1.4595579141369573e-10,-6.959017480905074e-11,,,,-7.920289678462066e-11,9.729645175704142e-10,4.232445709573385e-09,,,,,,,,1.81564223617938e-10,,5.143449341385573e-10,,8.317667220544894e-09,4.3474199467633615e-10,-8.903870511732023e-12
2014-01-10,-3.7931528740518045e-11,-1.141747274640452e-09,-4.886417489730893e-12,,-1.803802884212846e-10,,,-5.302660808647843e-12,-1.991724411562572e-10,-3.714478565208091e-11,,,3.831550732587287e-10,,,-2.8829509817612136e-10,,3.7414243380337313e-10,,,-5.770211079649053e-10,1.0852568937479928e-11,-5.349426081430691e-11,,-2.1779468213848715e-10,,,,9.330982989211085e-11,3.517896397544408e-10,2.599210036850871e-10,,,,3.562472105728472e-11,2.2399871233743492e-10,9.14815586391884e-10,,,,,,,,1.4233953718236632e-10,,-1.7189783902946233e-10,,-5.8928332153050634e-12,4.691586232860128e-11,1.4529546958128622e-11
2014-01-13,-9.743067690735062e-11,5.884022350157601e-09,-6.357777571646678e-12,,2.359344085601946e-09,,,-1.4650330595879276e-11,6.89242273926721e-11,8.49015421389969e-10,,,-1.6563542816596214e-10,,,-6.729671019487758e-10,,2.7454480438609753e-10,,,3.4494421742632733e-10,2.1768765845671346e-10,1.481864209301571e-11,,-6.567663432908823e-11,,,,-4.194807871644576e-10,-3.2570286074355073e-10,1.486521146669909e-10,,,,-2.8649537926503042e-11,3.085434143254454e-10,-5.21789201222641e-09,,,,,,,,-2.3070149240378938e-11,,-3.5425465184275516e-11,,6.121498325382602e-12,-1.8572269062861003e-10,1.1160975429520408e-10
2014-01-14,6.290119745390657e-12,1.2836946214986658e-09,-4.119039106585024e-11,,1.2302794976740124e-11,,,-1.306964468364557e-11,-2.9620173236504185e-11,-8.585327245299019e-11,,,1.5860056275230937e-10,,,3.604119999401895e-11,,1.490398320844363e-10,,,4.932475442887761e-10,2.6694210196360503e-10,4.806147368410375e-10,,2.1100045876850496e-10,,,,1.2361126301540462e-10,2.4018891167974665e-10,6.917173455953949e-11,,,,1.1185081970600501e-10,5.684127110020331e-10,2.935190817030986e-10,,,,,,,,1.8949683807975054e-10,,-2.458321912174007e-10,,1.219406706564879e-10,2.4922089483202655e-10,1.461544400781655e-11
2014-01-15,8.57368945561163e-11,-7.127620423000881e-10,-9.579209341798326e-12,,-7.085327944080873e-11,,,7.897966674132407e-12,-9.069685533536974e-11,3.470828188302037e-11,,,-1.711240107026674e-10,,,5.203966968096179e-10,,1.9817895213318305e-11,,,-9.825522410191283e-11,-1.1962313634932812e-10,1.7041227140947245e-10,,-3.984292464978379e-11,,,,1.0975701635160392e-10,-1.7245185752958865e-10,1.2106994955864004e-09,,,,2.426956927796745e-11,-1.5778807784417012e-11,-1.9473161060704148e-10,,,,,,,,3.3480005023540326e-11,,3.92660411055962e-11,,2.4082170028297185e-11,3.731660714992096e-12,5.426641084132621e-11
2014-01-16,3.79892106040585e-11,3.8911043611421335e-11,5.462536233108704e-12,,1.3250054941484901e-11,,,1.9158143118740038e-12,-2.9089030205532186e-11,5.286936069251862e-11,,,-9.492416441186739e-11,,,8.786302404710471e-10,,1.3912070579641106e-10,,,2.8642142747915694e-10,-6.889219275768369e-10,-4.6459664878303916e-11,,2.0030256499424066e-11,,,,-2.777927337492559e-11,-5.335387991880464e-11,-1.3848686838575302e-10,,,,-2.0917463695302257e-10,3.5143155073057794e-10,-2.7777265621644633e-10,,,,,,,,-4.9826617507174215e-11,,5.90799230633824e-11,,-9.924288170527637e-11,2.339684565260063e-12,1.1879796594992278e-11
2014-01-17,-6.635322874649036e-11,7.956264409668917e-10,2.361070397758983e-12,,1.529398214659316e-11,,,1.067407246168796e-12,-4.636603760095699e-11,2.2593357980134915e-11,,,3.8338779695271954e-10,,,1.300238931701034e-10,,2.999693685691089e-10,,,3.469499234554434e-10,-3.841499047356122e-10,1.5040319477400532e-10,,-1.1675098726657464e-10,,,,-4.356759526506367e-11,-1.4050696420046556e-10,1.4956650245891148e-11,,,,4.265476036219925e-11,-5.122490064905318e-10,3.453058616773536e-10,,,,,,,,4.994837143350246e-13,,-2.2587361597649058e-10,,1.1651704340276722e-10,-1.0930829533321522e-11,-1.7299412776210432e-11
