trading_date,A,AG,AL,AP,AU,BC,BU,C,CF,CU,EB,EG,FG,FU,HC,I,IC,IF,IH,IM,J,JM,L,LU,M,MA,NI,NR,OI,P,PB,PF,PG,PP,RB,RM,RU,SA,SC,SF,SI,SM,SN,SP,SR,SS,TA,UR,V,Y,ZN
2014-01-06,3.725542311636483e-10,1.1316077873309861e-10,-2.0801465118169314e-11,,-1.2933193507558298e-10,,,8.603743992392575e-11,4.224143461782778e-11,1.0297174074576742e-10,,,-1.955535722494728e-09,,,-1.6308455256411307e-10,,-9.370584716348988e-10,,,1.5145466898257064e-10,9.114218608854504e-10,7.329117028113246e-11,,9.331484479994423e-11,,,,-3.051413936903909e-10,-8.267456783121295e-10,-1.2230863682861377e-11,,,,7.410141681497555e-11,-2.1903612032115268e-10,-4.470337824435375e-10,,,,,,,,-4.3950512121307323e-10,,-2.192934318933494e-10,,1.6293980460841083e-10,-2.5054049586531734e-10,-2.2346182448578827e-11
2014-01-07,2.753719674182256e-10,1.240748234056759e-10,2.221589372804265e-12,,-2.1229938223591703e-10,,,2.5358501132694877e-10,1.0920831458195302e-10,3.0202784059806904e-11,,,-1.4436524238318188e-09,,,2.8959848289794555e-10,,2.550927093837781e-10,,,7.516122524989691e-10,1.06607024376133e-09,-4.908081533136682e-10,,-4.0296737705797526e-10,,,,-9.66091567925112e-10,-1.0309256771380807e-09,-1.9418240194586405e-10,,,,-5.733788555932301e-10,-1.509402410137727e-10,-4.1857708825704823e-10,,,,,,,,-7.084805061393922e-11,,-2.6537844268928183e-10,,-1.7517214386100543e-10,-7.261535056799752e-10,1.638353788155688e-11
2014-01-08,6.382996128427957e-12,4.364534788003528e-09,5.471712607691849e-11,,-5.8047981917453663e-11,,,1.8496032744697287e-11,5.4516379943463375e-11,-6.052780099869157e-11,,,1.1331701275353906e-11,,,-8.417046320664974e-10,,9.250738563492263e-10,,,-1.850123074431982e-11,-2.979574752773705e-10,2.0842262841595856e-10,,3.2782403750695897e-10,,,,5.346655088894588e-11,-2.6590108311457966e-09,8.771681357074508e-12,,,,4.155431996128243e-11,4.387864739686062e-10,-1.964598104193585e-11,,,,,,,,-1.5256417551764921e-10,,-5.859621254607058e-10,,-4.2350903052553685e-11,-5.890587115819423e-10,2.2258529571561805e-11
2014-01-09,7.694706191793963e-10,3.0118653524731734e-12,8.331396267508099e-11,,-1.7087777957239663e-10,,,3.597377499084756e-11,-5.187862088373562e-11,3.6447411665650436e-09,,,2.9818220799818385e-08,,,3.149239444181646e-11,,7.113079577434705e-10,,,-8.121417624568126e-09,-2.894054533261627e-09,1.6833136306760757e-08,,1.186560424620412e-08,,,,3.523351624094195e-10,-1.5548185557475012e-10,-7.2544603665859e-11,,,,-1.82544511674423e-10,2.311031482512955e-09,7.60357250217614e-09,,,,,,,,3.998055207659237e-10,,8.922456559495206e-10,,1.5297317743942807e-08,7.97667141741703e-10,-1.5685052107268445e-11
2014-01-10,-5.800583692746794e-11,-2.0598933140720096e-09,-7.348340584149571e-12,,-3.197446889766418e-10,,,-1.0539906352149951e-11,-8.107063345782988e-11,-7.78653877622851e-11,,,5.94448471250773e-10,,,-3.7051115012511e-10,,6.395785618092371e-10,,,-5.364853771225767e-10,-9.541203074409905e-11,-2.238388655806145e-10,,-2.1067780907625322e-10,,,,1.9042492437531425e-10,6.386003136724238e-10,1.0569649994547854e-10,,,,1.5082034239541204e-10,4.649521578660683e-10,1.8982113655642207e-09,,,,,,,,2.8308622426595355e-10,,-1.6738062840938445e-10,,-3.158208023791011e-11,1.236298809174123e-10,2.7329986305262826e-11
2014-01-13,-1.9589258129283496e-10,1.0673428124958193e-08,-1.3759455954287646e-11,,4.278515600212829e-09,,,-3.6058082059852935e-11,3.1857930388189087e-10,1.5432628150572381e-09,,,-1.8770927565240437e-10,,,-9.908496428613581e-10,,5.037126231858785e-10,,,6.368149770522679e-10,2.945724104127792e-10,-5.4349885937043727e-11,,-1.0372596856161262e-10,,,,-7.292725216713396e-10,-5.178652833562157e-10,2.8738936104286177e-10,,,,-5.276825206854706e-11,5.971925171434359e-10,-1.05933484029678e-08,,,,,,,,-3.2641160102940805e-11,,-8.37184687819864e-11,,4.25509042669309e-11,-3.283934134413328e-10,1.952715232738265e-10
2014-01-14,8.47128314720359e-12,2.9269281381338106e-10,-8.511600060259808e-11,,1.3252609949772922e-11,,,-1.7665795139937e-11,-9.663586914049112e-11,-1.0795412955935293e-10,,,3.0586897319693004e-10,,,6.432012132105685e-10,,4.003263952750066e-10,,,1.0165150161474978e-09,4.974537148761882e-10,7.689271886434276e-10,,3.987732198207448e-10,,,,1.8580438942455217e-10,3.603152523868221e-10,1.0151296873531746e-10,,,,1.9096456402072173e-10,5.771564652316726e-10,5.058427513631668e-10,,,,,,,,3.565876862455733e-10,,-4.2796675183039443e-10,,2.427805928955686e-10,4.898863178783219e-10,2.1694827064873048e-11
2014-01-15,1.2439790800118606e-10,-3.7588256360694513e-10,-1.1453295903931418e-11,,-1.83379185976296e-10,,,3.587666487886508e-13,-1.4639153726225878e-10,7.243654515804093e-11,,,-3.5258160066354767e-10,,,1.0643470751872574e-09,,1.607478996996364e-11,,,-4.8964588916471254e-11,-1.921373797716563e-10,3.061068160204783e-10,,-8.070472966797289e-11,,,,2.1997543758726165e-10,-2.697962066110685e-10,2.184869842164676e-09,,,,1.8920777674751072e-11,-4.61553313175032e-11,-1.8608773746923292e-10,,,,,,,,4.823245629161779e-11,,8.419066305491988e-11,,3.3456732564149735e-11,2.3793651064598587e-12,1.017253699988938e-10
2014-01-16,7.299683899189968e-11,4.907288441682466e-11,3.786688742462287e-12,,2.0664477586958557e-11,,,-7.910681595409328e-12,-5.99215906439796e-11,1.0329057902938481e-10,,,-1.2544348776581954e-10,,,1.2242230365329929e-09,,1.915578272127137e-10,,,3.6538883090176617e-10,-1.1906235566644381e-09,-7.841836941654845e-11,,2.8780344118647018e-11,,,,-6.020977663539378e-11,-3.8881049905736977e-11,-3.1939368115723175e-10,,,,-3.751390554262534e-10,5.274150043086427e-10,-5.419178259124501e-10,,,,,,,,-1.0262824703390766e-10,,9.537579464440428e-11,,-1.763624687577099e-10,4.0898941942386435e-12,1.971789758690986e-11
2014-01-17,-8.810418369618816e-11,1.4398888507315212e-09,3.2137457254451856e-12,,2.974833755784971e-11,,,3.78727597614809e-12,-8.041635674212173e-11,2.7566351146825433e-11,,,6.575472515705698e-10,,,1.5679979853336582e-10,,4.662696974063136e-10,,,4.2681460618965337e-10,-1.758009039026501e-10,3.0537233489822826e-10,,-2.2315288183588948e-10,,,,-1.3643231836805507e-10,-2.410772033553344e-10,-1.7931406956097073e-11,,,,4.9104923409254854e-11,-7.054325627032328e-10,3.831142210768608e-10,,,,,,,,2.4312055531334395e-11,,-4.1852782343662557e-10,,1.2675805061484026e-10,-4.258247693187278e-11,-3.044700559129283e-11
