trading_date,A,AG,AL,AP,AU,BC,BU,C,CF,CU,EB,EG,FG,FU,HC,I,IC,IF,IH,IM,J,JM,L,LU,M,MA,NI,NR,OI,P,PB,PF,PG,PP,RB,RM,RU,SA,SC,SF,SI,SM,SN,SP,SR,SS,TA,UR,V,Y,ZN
2014-01-06,4.1497377233574687e-10,1.25860184763266e-10,-2.314038583719792e-11,,-1.4384614021432575e-10,,,9.583378209348165e-11,4.7051102915897276e-11,1.145499029827317e-10,,,-2.1781957305015535e-09,,,-1.816535857768586e-10,,-1.041176079594332e-09,,,1.6869950753009105e-10,1.0151976173229027e-09,8.163620452106337e-11,,1.0393980237617551e-10,,,,-3.3988521574424726e-10,-9.208800872288571e-10,-1.1694629212078125e-11,,,,8.253870684836385e-11,-2.4397587659534333e-10,-4.979336685633462e-10,,,,,,,,-4.895477835294133e-10,,-2.4426248601981986e-10,,1.8149235661827938e-10,-2.79067384008398e-10,-2.485879147987836e-11
2014-01-07,3.0672620133218204e-10,1.3799905208446919e-10,2.4713853070669446e-12,,-2.3612456340868527e-10,,,2.8245855222061126e-10,1.2164292465811597e-10,3.3598790879928736e-11,,,-1.6080286899116795e-09,,,3.225725675843453e-10,,2.8343634375975347e-10,,,8.371918654072676e-10,1.1874544794371253e-09,-5.466922499780957e-10,,-4.488498011784378e-10,,,,-1.076092092985892e-09,-1.1483083037429116e-09,-2.2128452829808484e-10,,,,-6.386645668736473e-10,-1.6812650607969728e-10,-4.662368557318606e-10,,,,,,,,-7.891490786206102e-11,,-2.955948000251901e-10,,-1.9511748697389219e-10,-8.088343503861109e-10,1.7401589875229637e-11
2014-01-08,7.10977291532817e-12,4.854342299282481e-09,6.053660882374793e-11,,-6.45623846977691e-11,,,2.060201667107371e-11,6.072369053108544e-11,-6.733355852725259e-11,,,1.26219444898744e-11,,,-9.375422881928808e-10,,1.0278598403880293e-09,,,-2.0607806522138414e-11,-3.318833264228137e-10,2.3215391779005284e-10,,3.6515053682705827e-10,,,,5.955432648521199e-11,-2.9617694901376447e-09,9.653324567252257e-12,,,,4.628575243212152e-11,4.887473101135465e-10,-2.1882899675423598e-11,,,,,,,,-1.6993534401718355e-10,,-6.5268058529039e-10,,-4.71730355783395e-11,-6.561297529996881e-10,2.4761282896593875e-11
2014-01-09,8.493001333953803e-10,3.3498702818088373e-12,9.268180058352311e-11,,-1.9005444421378784e-10,,,4.006979887594406e-11,-5.77855925685174e-11,4.054556560891735e-09,,,3.3213364752272954e-08,,,3.507816212578566e-11,,7.903421752705228e-10,,,-9.046133492712023e-09,-3.2235755939795346e-09,1.8749780539708763e-08,,1.3216638393049144e-08,,,,3.9245253238672965e-10,-1.7318523516989493e-10,-7.981104272457513e-11,,,,-2.0332928280566918e-10,2.5741687305218554e-09,8.469325806879363e-09,,,,,,,,4.453279315462021e-10,,9.938379831120899e-10,,1.7039091546470946e-08,8.884906281776395e-10,-1.7419159552892626e-11
2014-01-10,-6.461046192415983e-11,-2.2910637060319947e-09,-7.947453217501377e-12,,-3.556278604850425e-10,,,-1.1739994699176926e-11,-9.030144815847388e-11,-8.6620586864743e-11,,,6.621331981753661e-10,,,-4.1269806325816706e-10,,7.106428464547079e-10,,,-5.975703458048504e-10,-1.0627577681892221e-10,-2.493254690873181e-10,,-2.3466587644632164e-10,,,,2.1210697022002826e-10,7.113122305757196e-10,7.010539791852621e-11,,,,1.6799295563845402e-10,5.178922550488385e-10,2.114344342831434e-09,,,,,,,,3.153188141576215e-10,,-1.8643881877282922e-10,,-3.358011129517171e-11,1.3770655052682062e-10,3.0402975196045965e-11
2014-01-13,-2.1819718213310825e-10,1.1871247714131858e-08,-1.4247374083492059e-11,,4.758669655547335e-09,,,-4.0163705264687676e-11,3.5485318501695766e-10,1.7167875813435783e-09,,,-2.090821139692623e-10,,,-1.103669156652503e-09,,5.596806924287539e-10,,,7.093236130532686e-10,3.2811283338057085e-10,-6.053823928631108e-11,,-1.1553635112060812e-10,,,,-8.123085018616406e-10,-5.768301423522205e-10,3.219628642621962e-10,,,,-5.87765183931836e-11,6.651896849369955e-10,-1.1799521735978985e-08,,,,,,,,-3.635772783743407e-11,,-9.325076968290564e-11,,4.8989996229834105e-11,-3.657847426945539e-10,2.17256859711844e-10
2014-01-14,9.43583518871687e-12,3.2554010353993285e-10,-9.472482205142344e-11,,1.473987679784363e-11,,,-1.9677247061811014e-11,-1.0763896315153714e-10,-1.20092512548084e-10,,,3.40695638461927e-10,,,7.164369949127619e-10,,4.4480710586111845e-10,,,1.1322568249167672e-09,5.540944843917938e-10,8.564783041820356e-10,,4.44178091384493e-10,,,,2.0696033475507047e-10,4.013412464704702e-10,1.052908944419425e-10,,,,2.1270805398347718e-10,6.428723003818135e-10,5.634387082015471e-10,,,,,,,,3.971892544814554e-10,,-4.766956394150433e-10,,2.7042392773021254e-10,5.456654530822892e-10,2.4075859570777176e-11
2014-01-15,1.3856202623894488e-10,-4.180657771580251e-10,-1.2663319486755526e-11,,-2.039588140618122e-10,,,2.739805002485064e-13,-1.6287533742295216e-10,8.058132415906467e-11,,,-3.9272703044207045e-10,,,1.1855351085006582e-09,,1.786087774440404e-11,,,-5.4539764882208085e-11,-2.1401440816149836e-10,3.409605623990476e-10,,-8.98938820559104e-11,,,,2.450221458273954e-10,-3.005155766707446e-10,2.4327107689618737e-09,,,,2.107512364761877e-11,-5.141064131900109e-11,-2.0727594520087824e-10,,,,,,,,5.37242706218515e-11,,9.377672865028205e-11,,3.7266162509572724e-11,2.6502829156112294e-12,1.1316339007053976e-10
2014-01-16,8.237054126397916e-11,5.458006182632803e-11,4.173885627903806e-12,,2.298353719591583e-11,,,-8.811402767163856e-12,-6.67443460143337e-11,1.149045915039807e-10,,,-1.39726657164898e-10,,,1.3636147684154625e-09,,2.1284203023634857e-10,,,4.0699250966780884e-10,-1.3261896051955376e-09,-8.734719365704655e-11,,3.205731399354247e-11,,,,-6.706534526219604e-11,-4.3308100142528815e-11,-3.5534097675473265e-10,,,,-4.178529082718169e-10,5.874672077695277e-10,-6.036213407440657e-10,,,,,,,,-1.1431364149816448e-10,,1.0623541482668792e-10,,-1.9644334391329073e-10,4.5555752163549245e-12,2.1934981765342304e-11
2014-01-17,-9.813584817644722e-11,1.6014795834789464e-09,3.613211917759808e-12,,3.308682834590499e-11,,,4.2185004684817826e-12,-8.957267458899698e-11,2.994209315096796e-11,,,7.324164930860308e-10,,,1.7465324094063026e-10,,5.180774415625707e-10,,,4.754123088746138e-10,-1.9581783850542709e-10,3.4014245223812557e-10,,-2.485613782825502e-10,,,,-1.5196669125154648e-10,-2.6852658789579326e-10,-1.9075312783086156e-11,,,,5.469607805486308e-11,-7.857540921199375e-10,4.267361373380875e-10,,,,,,,,2.7080259874011087e-11,,-4.661819815506967e-10,,1.4119089796207454e-10,-4.743097678055136e-11,-3.361786849902676e-11
2014-01-20,2.7604468139604903e-10,3.263239259012247e-11,1.667433779772358e-12,,-6.94380079439568e-11,,,-1.0154723801836504e-12,1.8460189209091508e-10,-7.219218220804703e-11,,,7.422596521742614e-10,,,9.142381436524669e-12,,6.343362738863966e-10,,,-3.092098406044639e-09,-2.282137969203136e-08,1.0375679716799104e-09,,-1.663776859255261e-09,,,,1.0885373004131798e-08,8.022352065918791e-09,1.028925641754766e-10,,,,-9.225177708214157e-11,-5.095952151839597e-10,1.954813433656143e-08,,,,,,,,5.352213297411494e-10,,3.1968816686302953e-10,,6.330880130833854e-11,1.0870858348460143e-08,-3.656692122550388e-11
2014-01-21,-1.0423032936885575e-10,5.876231754057031e-10,-2.8208032805937707e-12,,-3.4058998520101074e-11,,,1.9215653971238902e-11,7.809076405662878e-10,1.819998373255233e-11,,,-1.328517549234576e-09,,,-2.4930545673675817e-09,,3.4061213240080146e-10,,,-1.2748775934995076e-09,2.1444669773068694e-09,-3.2546957652775005e-10,,-4.073936369968671e-10,,,,8.705483196566837e-11,-1.6225581618164191e-10,5.7023460975460816e-11,,,,-1.8769592416807207e-10,-5.644932123094828e-10,-3.0716644180398904e-09,,,,,,,,-3.8057106646383165e-10,,-4.536424479942784e-10,,7.005767656901901e-11,-3.743570313154243e-11,2.3133200306291043e-12
2014-01-22,5.85680524093444e-11,4.1994729341365204e-11,-5.187066723932642e-12,,-1.6143603236508583e-11,,,1.2015610842768865e-11,-1.1071877731309096e-10,5.944650123214616e-11,,,4.778300080803196e-09,,,8.890043548208189e-10,,2.546830791028717e-10,,,1.2741583858146807e-08,2.2789445878041767e-09,-3.923185147206191e-10,,-7.394694949330769e-10,,,,-1.1585344742729594e-10,-6.474610959981892e-10,2.0772436812822968e-11,,,,1.8134487456959714e-10,-4.4506283312789705e-10,2.125944783418061e-09,,,,,,,,1.8373952625847885e-10,,-4.855264052027055e-10,,-2.2325943033405623e-10,1.0278463732932937e-11,-1.8562396293889606e-11
2014-01-23,9.843275378873054e-11,-1.3543431894823703e-09,4.0676849630155314e-11,,-5.27833517637049e-10,,,-2.7008898014587436e-11,3.276731496388258e-11,4.0090235433486954e-11,,,1.4847518452280362e-09,,,1.1822967005184788e-08,,-2.028167111289533e-11,,,1.3032177978550641e-09,4.5452971976924016e-10,3.6943928984948166e-11,,-6.345499298246406e-11,,,,1.9201456714338199e-10,1.5899703594714576e-09,-4.520072340998896e-11,,,,4.1359774659142207e-10,5.324559156141251e-10,1.0117925472687779e-09,,,,,,,,8.501019332360349e-11,,2.7512519331050206e-10,,-2.4634320958934925e-11,3.048794670452103e-10,2.1547838707389446e-11
