trading_date,A,AG,AL,AP,AU,BC,BU,C,CF,CU,EB,EG,FG,FU,HC,I,IC,IF,IH,IM,J,JM,L,LU,M,MA,NI,NR,OI,P,PB,PF,PG,PP,RB,RM,RU,SA,SC,SF,SI,SM,SN,SP,SR,SS,TA,UR,V,Y,ZN
2014-01-06,4.1384563673036753e-11,1.2610915722604134e-11,1.0741243285090257e-11,,-1.1449041272995769e-11,,,8.2430367031665e-12,5.1052116708289345e-12,9.952609870879104e-12,,,-3.0276161392800283e-10,,,2.3201214997866606e-12,,-1.1964230502038113e-10,,,-5.643514891795052e-11,4.276598808782299e-11,1.1335127219935122e-11,,8.907514496510205e-12,,,,-4.8626498333951844e-11,-1.047992342469136e-10,9.841114227473481e-12,,,,1.488195402719986e-12,-2.6532888818671038e-11,-4.48426191626514e-11,,,,,,,,-6.583210215738197e-11,,-1.9449479087745362e-11,,1.856099116569926e-11,-3.918762877999432e-11,-1.9535824535370857e-12
2014-01-07,3.665437640428953e-11,1.2705804502598987e-11,-9.142823724638675e-12,,-2.3529868129060577e-11,,,2.9023582954342287e-11,1.2803791761825146e-11,6.772577395657495e-12,,,-2.365842708478338e-10,,,7.283244731853289e-11,,4.833722270428231e-11,,,7.124645474605049e-11,1.3384466359601365e-10,-4.7872741026737176e-11,,-5.7181492807247135e-11,,,,-1.0616822700098956e-10,-1.1840394097140128e-10,-2.1028404150802823e-11,,,,-6.432560658053669e-11,-5.054317714884789e-11,-7.19236024940186e-11,,,,,,,,-6.844023058162944e-12,,-3.899797142605906e-11,,4.552706640569236e-12,-8.044512293116919e-11,2.7224111925183357e-12
2014-01-08,-4.066787375778227e-12,4.921470220484141e-10,8.530957890903954e-12,,3.1454175726438646e-11,,,1.3551996655735226e-12,3.2113806000920134e-11,-6.655132571104243e-12,,,2.2490691069771473e-11,,,-1.4402320222381621e-10,,8.698228216994062e-11,,,-3.636521076452148e-12,-5.76108858307756e-11,1.6055135921008075e-11,,4.1729870713552786e-11,,,,-1.505325753216243e-13,-2.9311940571816276e-10,-6.904650057717853e-13,,,,2.8966997293204866e-11,7.035088102966712e-11,-1.8243225567039296e-11,,,,,,,,-2.3374927506561468e-11,,-6.080753167617293e-11,,-8.000689493171881e-12,-6.730029866535523e-11,2.589715196121894e-12
2014-01-09,9.259097924042184e-11,2.817777253621111e-11,1.1540942002122913e-11,,-2.2933023082082104e-11,,,3.597782356617918e-12,9.739127991862237e-12,4.0672745757093585e-10,,,3.337340423879596e-09,,,8.284535312512705e-12,,5.565901904585575e-11,,,-9.018157548724045e-10,-1.307803738145494e-10,2.012172066625307e-09,,1.3504815676428703e-09,,,,3.816052510825416e-11,-1.3444511806153365e-11,-8.354679769626558e-14,,,,-1.8754554392784247e-11,3.129993686911671e-10,8.521279390328357e-10,,,,,,,,6.025107686138312e-11,,9.846215961567211e-11,,1.7471488686939563e-09,8.665219780589365e-11,-1.9803194467069292e-12
2014-01-10,5.363926812837377e-12,-2.3027616245067803e-10,-9.894298415181971e-14,,-3.404911600135506e-11,,,-1.4483447379363228e-12,1.796971183689418e-11,-1.0724305457901632e-11,,,8.858500629715192e-11,,,-3.672189731502844e-11,,5.5136641814386244e-11,,,-3.091079237364608e-11,-5.999794285677729e-11,-5.626822582031493e-11,,-5.252300413575221e-12,,,,1.831150656585865e-11,6.978450998438661e-11,-3.9335038029183515e-11,,,,2.561853395420345e-11,6.101618132596842e-11,2.409543185451148e-10,,,,,,,,4.0338286047915276e-11,,-9.548534975560997e-12,,-9.985679795471288e-12,1.6498012706955973e-11,3.922632376523322e-12
2014-01-13,-2.457006598162061e-11,1.1968279289014444e-09,-1.3205388647655784e-13,,4.802499133174721e-10,,,-5.3493401448351e-12,6.172322835052074e-11,1.7462720420202207e-10,,,-2.06237126764789e-11,,,-1.375180991562327e-10,,4.470680798634365e-11,,,6.12429194572565e-11,1.0000659881598528e-11,-1.8038091308680844e-11,,-1.49295813326219e-11,,,,-7.48381437819347e-11,-5.651573512998824e-11,3.4763815330163516e-11,,,,-9.090951566469046e-12,6.804575341936967e-11,-1.3640669678189296e-09,,,,,,,,-2.5185275504870324e-12,,-1.0491675860437185e-12,,-7.230348937680716e-13,-3.187424308858796e-11,2.0885769306641254e-11
2014-01-14,2.0852932119884834e-13,-2.443313659078778e-10,-1.1488195379876301e-11,,6.207029561251184e-13,,,-1.0068627133917152e-12,-1.1597703163844862e-11,-5.355315732882098e-12,,,3.3978294812673596e-11,,,9.659291856846489e-11,,6.394009757445894e-11,,,1.4439554281798147e-10,5.0017729759229664e-11,9.375285940364593e-11,,4.153645137630089e-11,,,,1.1762387761485272e-11,3.280505000082867e-11,8.085308543944496e-12,,,,2.2111394898614672e-11,2.764262268626243e-11,9.373083930628437e-11,,,,,,,,5.595686431133712e-11,,-4.6541054466810244e-11,,2.8421388120154405e-11,6.377563935319491e-11,2.5526377847132114e-12
2014-01-15,8.25703211595201e-12,8.62776387270549e-11,-2.4383220459887383e-13,,3.0633149348739066e-11,,,-3.2835939375532763e-13,-1.6686014375831863e-11,1.0225332721230883e-11,,,-3.5030817367286623e-11,,,8.963129682819699e-11,,-3.2521920400175158e-12,,,-1.4209077966223994e-12,-2.0054082956480073e-11,2.8465280499209176e-11,,-4.8121791445804654e-12,,,,2.7394301068661216e-11,-2.222660731317061e-11,2.4849734658716333e-10,,,,-1.901629581322446e-12,2.6743348846691294e-12,1.1312376266776536e-11,,,,,,,,4.952659142354316e-12,,1.619073537702395e-11,,1.4514430085328711e-12,-3.9023168499720104e-12,1.1888907719204489e-11
2014-01-16,1.2460425990592291e-11,2.792284904002679e-12,3.1425066921839206e-13,,1.9742761654840425e-12,,,-2.030802786570753e-12,-1.1137027299558943e-11,1.2163669158199604e-11,,,-2.3342138635116102e-11,,,8.642246822023069e-11,,1.159433781530874e-11,,,8.732188547615537e-12,-1.0322840371474233e-10,-1.2402722273109074e-11,,9.11204510046518e-14,,,,-9.839703786629626e-12,3.3025307821303794e-12,-3.937786697776908e-11,,,,-4.074896991337579e-11,5.208297503123189e-11,1.2532832727023783e-11,,,,,,,,-1.5858677889630344e-11,,7.57342274832359e-12,,-1.926806992739245e-11,2.865400244681769e-13,2.504222771548962e-12
2014-01-17,-2.5869694512841494e-12,1.6228405777507704e-10,1.7317493118022741e-13,,3.6272190721606204e-12,,,-4.479341242943303e-13,-8.669144053325855e-12,1.8144183309471318e-12,,,4.2665314033533064e-11,,,1.797416742597864e-11,,4.1324978934667535e-11,,,6.437837707730411e-11,1.313094142290733e-11,4.71255123082622e-11,,-2.4395298522997858e-11,,,,-2.2234092103143765e-11,-2.0135960503338923e-11,-8.222014300497054e-12,,,,7.944234699597191e-12,-5.720794777847839e-11,9.158589965463856e-12,,,,,,,,5.103784961657832e-12,,-4.856060734052182e-11,,1.521708811290994e-11,-1.1985864284583186e-11,-2.235701693969909e-12
