trading_date,A,AG,AL,AP,AU,BC,BU,C,CF,CU,EB,EG,FG,FU,HC,I,IC,IF,IH,IM,J,JM,L,LU,M,MA,NI,NR,OI,P,PB,PF,PG,PP,RB,RM,RU,SA,SC,SF,SI,SM,SN,SP,SR,SS,TA,UR,V,Y,ZN
2014-01-06,2.091213702213402e-10,6.007553899370276e-11,4.913005407892441e-11,,-6.340380891030425e-11,,,5.339846255512432e-11,1.8308345435742242e-11,5.467711537266581e-11,,,-1.3689223061503292e-09,,,1.0540011573622563e-11,,-5.087212041257699e-10,,,-4.6925469348075316e-11,2.7349979139221676e-10,6.349661599989942e-11,,5.242743116649758e-11,,,,-1.7594519989092354e-10,-5.069950498102922e-10,3.443536644344872e-11,,,,1.6250634394172386e-11,-1.2470009534423664e-10,-1.0201263880169483e-10,,,,,,,,-3.14478504931153e-10,,-9.756345316870687e-11,,9.627749144940615e-11,-2.437888956674735e-10,-8.714963326468321e-12
2014-01-07,1.7416011256110288e-10,4.514847511339745e-11,1.0317048554939545e-11,,-1.167717805751074e-10,,,1.215935711807792e-10,6.043367709429431e-11,2.711199855925545e-11,,,-1.1057872296149952e-09,,,4.467952584588457e-10,,9.158652932253929e-11,,,4.0942288475371483e-10,8.782900330878968e-10,-2.0857150066607106e-10,,-2.137387879236326e-10,,,,-5.575193115763694e-10,-5.632349061491692e-10,-1.0436266140220734e-10,,,,-3.158573463364919e-10,-1.6915071348475107e-10,-4.5423739879525075e-10,,,,,,,,-3.181805169834171e-11,,-1.5548959076997382e-10,,-2.7645776386743515e-12,-3.8715482485627813e-10,9.784845065774975e-12
2014-01-08,2.970066399508982e-11,2.448452843160451e-09,3.23061555887433e-11,,1.6017304665989294e-10,,,3.3734890611083703e-12,1.0880074393937507e-10,-3.441008082831129e-11,,,2.5558012137374117e-11,,,-7.427704058580018e-10,,4.105088342008475e-10,,,5.401458087610195e-12,-2.87241714696655e-10,9.158724151259455e-11,,2.0505867296720181e-10,,,,-4.271654729733102e-11,-1.4965687999390682e-09,-7.817941946021787e-13,,,,1.3225445928906954e-10,3.979900349180242e-10,9.803837493966248e-11,,,,,,,,-1.1871261729012533e-10,,-3.280668981196709e-10,,-5.4656569224937394e-11,-3.6996169550478794e-10,1.0198210117573371e-11
2014-01-09,4.6227593394379455e-10,1.0165394585859786e-10,7.151219810219326e-11,,-1.0825009797570782e-10,,,1.517387540655269e-11,-2.9000955180136022e-11,2.037469608254911e-09,,,1.680567177614588e-08,,,2.012252507669981e-11,,3.611429575944591e-10,,,-4.327510729442091e-09,-8.940450432551227e-10,9.915614783535937e-09,,6.73840453532105e-09,,,,1.9831313238129638e-10,-2.2970575967207732e-11,-3.0379756545045335e-12,,,,-1.220961692825866e-10,1.6510663336337076e-09,4.2232547316355905e-09,,,,,,,,2.7849237400936883e-10,,4.763628814266354e-10,,8.726799392091869e-09,4.4957734487126053e-10,-8.761501042243352e-12
2014-01-10,-1.471038137411252e-11,-1.1484222018822358e-09,-2.560866078570497e-12,,-1.7341351655671226e-10,,,-6.685590281438432e-12,1.360715195353215e-10,-5.144490756810583e-11,,,2.998784042891963e-10,,,-1.1893794926401703e-10,,3.2057276982025023e-10,,,9.624938468682492e-12,-1.6626254253835627e-10,-2.266128305866225e-10,,1.8645726486587136e-12,,,,1.1542660104906206e-10,3.5659518390236963e-10,-1.9355954176879212e-10,,,,1.4081415529233078e-10,3.019696268546018e-10,1.2243500977174516e-09,,,,,,,,1.810849731315025e-10,,-5.031324355483112e-12,,-3.567492681807633e-11,9.321203129576698e-11,1.6723071723657525e-11
2014-01-13,-1.2303197036710495e-10,5.986233703702037e-09,-7.533732269117527e-12,,2.399421427928355e-09,,,-2.6757091608808757e-11,3.113783048397395e-10,8.688745978692912e-10,,,-4.2697560162921124e-11,,,-4.554006400688151e-10,,2.738746267861246e-10,,,3.5311367908319704e-10,8.688541183766424e-11,-8.720661933874028e-11,,-5.297891556514629e-11,,,,-3.8462987828881667e-10,-2.4867815774265325e-10,1.735010617060344e-10,,,,-3.3209665708513064e-11,3.5669485623736025e-10,-6.73952335856032e-09,,,,,,,,-1.2089538413048904e-11,,-4.93421711837546e-11,,3.570637104778023e-11,-1.7454496590131074e-10,1.0454753828526368e-10
2014-01-14,2.3896927230117818e-12,-1.2353331735931625e-09,-5.541380491662414e-11,,1.5705179291579151e-12,,,-5.603013169683144e-12,-7.86133990678318e-11,-2.745617283924484e-11,,,1.8124670525729427e-10,,,7.037529317850144e-10,,3.152266607650292e-10,,,6.676630146767031e-10,2.8052934267181284e-10,3.8206531120603595e-10,,2.2930921242854076e-10,,,,7.395551417063281e-11,1.5293139070790409e-10,4.042654271972248e-11,,,,1.0122513921333139e-10,3.638637691590185e-11,3.0605450896635255e-10,,,,,,,,2.2304771247715988e-10,,-2.2867561507980397e-10,,1.4926131035923508e-10,3.044410623994903e-10,9.632020841769708e-12
2014-01-15,4.691804556102177e-11,4.231571174201978e-10,-2.1179187667319647e-12,,-8.189275718674821e-11,,,-7.867559419099084e-12,-7.238069630272091e-11,4.7953595996251445e-11,,,-2.164884073281669e-10,,,6.335816752058366e-10,,-6.995297283372182e-12,,,4.7869727388819164e-11,-9.256832637880827e-11,1.6415982511021502e-10,,-4.567398416276956e-11,,,,1.3761272230431896e-10,-1.1957095639465047e-10,1.222667693165439e-09,,,,-7.250421184538822e-12,-2.7702188648417058e-11,1.9956249404585102e-11,,,,,,,,1.970511041043178e-11,,6.111535732634762e-11,,1.0826005544385422e-11,-5.254612458504248e-12,5.934786687677208e-11
2014-01-16,4.746805437843347e-11,1.2954125709406005e-11,-1.3615968214280245e-12,,9.388698810957697e-12,,,-1.1857298693854085e-11,-4.1969587738006354e-11,6.258488749506579e-11,,,-5.386146198906825e-11,,,4.320152642821765e-10,,6.403145923161139e-11,,,8.769959197022477e-11,-6.049300328023436e-10,-4.436142681135361e-11,,8.841208070227601e-12,,,,-4.227020704709781e-11,1.7775360795198038e-11,-2.202846797492478e-10,,,,-2.067133883866066e-10,2.2806642860929659e-10,-2.5161233696897997e-10,,,,,,,,-6.866030741636379e-11,,4.386929432934547e-11,,-9.638765697982598e-11,2.0367496534467574e-12,1.0342323763466541e-11
2014-01-17,-2.433792440098196e-11,8.065464675397065e-10,1.02585025886643e-12,,1.8081574483417172e-11,,,2.271934605684963e-12,-4.27194631944906e-11,6.787411497637651e-12,,,3.1682476865138334e-10,,,4.475007278924105e-11,,2.0762530777187224e-10,,,1.4424305981151407e-10,2.2147994225586943e-10,2.0209465243248515e-10,,-1.3079719309231272e-10,,,,-1.1509881520613516e-10,-1.2070619965820775e-10,-4.111007150248528e-11,,,,1.4394397746652793e-11,-2.503915039911794e-10,4.696694936497104e-11,,,,,,,,2.8916356778657205e-11,,-2.412148148006568e-10,,2.5458095324982972e-11,-4.3637511683134445e-11,-1.538329450905231e-11
2014-01-20,1.301120833220177e-10,1.061948724583299e-11,-3.1023870629144707e-16,,-3.646951605087804e-11,,,6.7691534734491e-12,1.0538562713932907e-10,-3.633270606422985e-11,,,3.0943252706456724e-10,,,-2.0646095379959613e-10,,2.1967549507180406e-10,,,-1.475604995717247e-09,-1.156529404989613e-08,4.711607890975417e-10,,-8.386973704128549e-10,,,,5.341594882357811e-09,4.119421093700034e-09,2.575021092363508e-11,,,,-2.191645685902232e-12,-1.9694849748708627e-10,9.92014054406693e-09,,,,,,,,2.939811422984144e-10,,1.7774739733088294e-10,,5.788956888398644e-11,5.497361920789827e-09,-1.6950455044166163e-11
2014-01-21,-5.185252965091852e-11,3.0542991933229056e-10,4.99478899330034e-13,,-2.509770359593343e-11,,,9.625101033742123e-12,4.0651692652912537e-10,7.315097414481163e-12,,,-6.879237806240745e-10,,,-1.0377856101858469e-09,,2.4539444094823927e-10,,,-5.977955110538033e-10,1.1784969763099365e-09,-1.8621686662394088e-10,,-1.7990167151585297e-10,,,,-3.6576704593887814e-12,-5.5670120601014174e-11,2.987306565077883e-11,,,,-5.577376447537819e-11,-2.885648668237087e-10,-1.4765610556999534e-09,,,,,,,,-2.0110073516401575e-10,,-2.2619819695241307e-10,,5.0222470324128067e-11,3.1008855800414174e-12,1.9113908152396097e-12
2014-01-22,3.013972480957332e-11,9.250851552210342e-12,-5.843463571570732e-12,,-7.72276647125838e-12,,,3.951107453192985e-12,-5.96737823659449e-11,3.0597140720420424e-11,,,2.3786710704585865e-09,,,6.195375285957694e-10,,1.4517559511448744e-10,,,6.564333663469938e-09,1.2339109764038103e-09,-2.2118089406439874e-10,,-3.87791380655853e-10,,,,-4.433088160425754e-11,-3.016050313486207e-10,-1.2393317616182694e-11,,,,6.124948648311072e-11,-2.0363614273231402e-10,1.1941478238869518e-09,,,,,,,,9.221394993823293e-11,,-2.1501857171747088e-10,,-7.653901039745324e-11,2.2768121787956584e-11,-9.36112914843519e-12
2014-01-23,5.48464101657352e-11,-6.834844967715951e-10,1.892298976819986e-11,,-2.670288560935971e-10,,,-2.0241591240744933e-11,1.633814583765021e-11,2.1732288017158884e-11,,,8.86801637396743e-10,,,6.733241131404441e-09,,-6.203047387488261e-12,,,4.596867389506105e-10,1.3738963385347388e-10,5.041964676011212e-11,,-3.6550831218923425e-11,,,,2.3641924889972035e-10,8.278308196402034e-10,-2.4410500092502894e-11,,,,2.3757848768258244e-10,2.5644588346709117e-10,5.907411417692884e-10,,,,,,,,4.2321928204183735e-11,,1.5077663541677415e-10,,-7.296885934712893e-12,1.7844603478349362e-10,5.551115032412567e-12
2014-01-24,-7.792655673096225e-13,-2.3357806705388485e-11,3.39095623676433e-11,,1.7971279785238254e-11,,,3.4707858139934743e-15,3.0640504452342365e-11,-2.193902275422545e-11,,,6.154893046695656e-10,,,2.967418816418713e-10,,5.083547919410513e-10,,,9.75284902300566e-10,2.0997197243428854e-09,8.049243899849086e-11,,-6.621766713165515e-11,,,,9.369141561977405e-11,1.2152492814940522e-10,1.1614167913126984e-11,,,,3.1656027577575035e-11,-5.30330032745186e-11,1.5432604232684e-09,,,,,,,,-2.8863957759727443e-11,,-4.4680895277922424e-11,,3.793871725187721e-12,-1.0999118225463197e-10,-2.02093383191469e-11
2014-01-27,1.1619156651606332e-11,7.819537864639343e-10,-7.100155400339928e-12,,4.490288663325761e-10,,,1.677043069412281e-11,-7.2191894470172596e-12,-7.993293660045208e-11,,,2.4772138381652733e-10,,,-9.508128971228928e-12,,-1.725237582704193e-10,,,-1.7751645857988738e-10,-1.2009750544668078e-09,7.618238833220253e-11,,1.6963643127527952e-11,,,,-1.3388645288290196e-10,-5.95553283928709e-10,5.396516625123321e-13,,,,-1.2777145058116419e-11,-4.303292214463178e-10,-1.2212809298919797e-08,,,,,,,,-7.255731913724986e-11,,9.70492936719698e-11,,1.820624999411055e-11,-8.08298041504044e-11,-5.074997122709567e-11
2014-01-28,-5.5878005044573e-10,-6.933634086900172e-11,-1.246588920487131e-10,,-2.039439186411464e-10,,,-5.585717712601603e-12,7.332866915377927e-11,8.992191729773165e-12,,,7.841104191404836e-11,,,4.397462980974826e-11,,1.0176026107292067e-10,,,-4.069485350714627e-10,-1.3008130983485907e-09,6.83914418112126e-11,,-4.15046039995248e-11,,,,2.0600776395252957e-10,-4.269970574230103e-11,-2.5653900024554887e-12,,,,-1.0680587130794904e-11,-1.2650300262346977e-10,-1.7525352192594235e-11,,,,,,,,-5.663438279889813e-11,,-1.1240178445537593e-12,,2.1863319101030237e-11,-3.562851844971336e-11,5.472768512327045e-12
2014-01-29,6.545653468213637e-12,-3.945897892807632e-11,2.141394042480492e-12,,-2.9337897265725813e-11,,,-5.567221905356995e-13,2.7156021936815487e-11,-2.649923148267632e-12,,,1.3261126669888622e-09,,,2.3112467015313964e-10,,2.1351729322242474e-10,,,2.193927961297509e-09,5.833800742380605e-10,1.0549188038449625e-11,,-7.626178272746825e-12,,,,1.1645420157111473e-11,-4.427457019431658e-11,4.6323541435694017e-11,,,,4.4223846621399267e-11,1.4946898776962804e-10,4.48608262874443e-10,,,,,,,,2.0665858479895828e-12,,1.7222765431923657e-10,,1.4479036990756397e-11,-4.5886813474236944e-11,1.7200903982906398e-11
2014-01-30,1.2736527257825718e-11,5.493495560815955e-10,-1.4812626375095791e-10,,9.69376110458493e-11,,,-2.7984925563116037e-12,-5.8059323466255185e-11,9.283647906904395e-10,,,-1.5944480133231516e-09,,,1.502683377552982e-10,,-2.081375843310017e-10,,,4.122235886072146e-10,2.076703630160665e-11,-2.229688169694754e-10,,-6.3446633206574735e-12,,,,2.4628862758060655e-10,2.071760876710096e-10,-9.657099334377796e-11,,,,5.425254541461276e-11,2.554739528524078e-10,1.308504574828481e-09,,,,,,,,2.2441054706652633e-10,,-3.5404865855184814e-10,,-3.5332007943512324e-10,-6.643397822952635e-11,1.1844249220597844e-12
2014-02-07,-2.6375452287791574e-10,-7.418470406334274e-11,-2.569839547627571e-10,,-1.6272650708898493e-10,,,-2.8303750281827966e-12,5.935951153219814e-13,2.367679933929187e-11,,,-6.475841963237411e-10,,,-6.427759758283861e-10,,3.056655463482435e-12,,,-1.0447674926001789e-09,-2.5009930717301753e-10,-6.26317554114732e-11,,4.002255718126248e-11,,,,2.725588945255699e-10,-1.3435871093920398e-10,-1.5618732443423225e-10,,,,-1.7174689810786588e-10,4.054341647472672e-09,-8.355429544629989e-10,,,,,,,,-5.6969946002856416e-11,,-5.1299656457816973e-11,,8.697995675084816e-10,-4.664023370738423e-11,2.9727515096010796e-12
2014-02-10,2.057008192616189e-11,-1.8537354901520493e-09,-5.3938189477635956e-12,,1.1453171819314047e-09,,,-1.2075176325869925e-10,6.255264262170462e-11,-5.304637321894479e-12,,,3.495516666273384e-10,,,-1.60603846617718e-09,,9.701295007618612e-11,,,-3.4944796650040017e-10,6.416809830459841e-10,-8.008210355100535e-10,,-8.02860937675225e-12,,,,5.108011541825562e-11,3.703942046903901e-10,1.2900315897236546e-11,,,,1.7110302945383333e-10,-1.331947765486192e-10,9.450607884955068e-10,,,,,,,,5.112057726555329e-10,,9.246083048505462e-11,,-2.1872669307360085e-10,2.944742079067559e-10,1.5207956110719645e-11
2014-02-11,-5.699291617965284e-12,2.404977648087271e-10,4.6132164164887607e-11,,6.833618810568968e-11,,,4.267632660792577e-11,-4.902393305251523e-10,2.9584532636779e-10,,,1.7418136424023837e-10,,,5.975579902791305e-11,,1.231816700167281e-10,,,-8.96782108076363e-11,-1.9089453414807597e-10,-1.42586411195798e-10,,-2.01541990702584e-11,,,,-1.199644347839993e-10,-1.8657093157647433e-10,7.253985535888931e-11,,,,-2.7341561960312187e-11,-8.285660471039472e-11,1.1226369543587863e-10,,,,,,,,2.8782162745068845e-12,,-6.0803292666907e-11,,-1.1477658088753387e-11,-9.939358191922245e-12,-8.053636348104079e-12
